代码,触发日期,触发价,T+1开盘涨幅,最高冲击%,持有10日收益%,MACD增速,状态,名称
000683,2025-07-21,5.47,0.0,14.08,4.02,2.48,持有期满,博源化工
002908,2025-07-04,10.76,1.39,21.19,4.55,10.85,持有期满,德生科技
002159,2025-07-24,16.18,0.06,1.24,-5.0,-6.06,止损离场,三特索道
600730,2025-07-25,7.18,-0.42,22.14,14.07,1.8,持有期满,中国高科
603858,2025-08-28,20.02,0.9,0.95,-5.0,3.7,止损离场,步长制药
002283,2025-08-19,6.99,1.57,4.15,-5.0,-1.11,止损离场,天润工业
002439,2025-08-01,16.65,-0.06,3.24,-1.5,-1.8,持有期满,启明星辰
000027,2025-10-23,7.51,2.26,3.06,-5.0,4.9,止损离场,深圳能源
002268,2025-08-21,19.37,-0.36,2.07,-5.0,-1.17,止损离场,电科网安
600109,2025-07-11,9.56,1.26,1.26,0.0,1.81,持有期满,国金证券
000680,2025-07-21,9.99,0.8,12.61,-2.2,5.91,持有期满,山推股份
000551,2025-12-22,12.53,2.08,33.12,33.12,2.57,持有期满,创元科技
600975,2025-07-21,6.51,-0.92,2.92,-5.0,4.56,止损离场,新五丰
600219,2025-07-21,4.06,0.0,3.45,-2.71,-0.75,持有期满,南山铝业
600098,2025-09-01,6.88,-0.29,4.36,-0.87,4.36,持有期满,广州发展
000425,2025-07-21,8.74,0.0,9.84,-5.0,1.72,止损离场,徐工机械
002998,2025-09-23,8.88,0.23,0.23,-5.0,-1.47,止损离场,优彩资源
600997,2025-07-22,6.39,1.72,2.35,-5.0,2.92,止损离场,开滦股份
000571,2025-09-25,5.32,-0.94,0.56,-5.0,8.6,止损离场,新大洲A
002361,2025-07-29,6.91,1.3,9.26,5.64,-3.24,持有期满,神剑股份
603231,2025-08-29,19.59,2.76,4.13,-5.0,12.68,止损离场,索宝蛋白
002026,2025-08-04,13.53,0.0,5.4,3.99,4.13,持有期满,山东威达
600226,2025-08-18,3.2,2.19,24.69,19.69,21.69,持有期满,亨通股份
002423,2025-08-28,14.23,2.67,7.52,-5.0,2.49,止损离场,中粮资本
002023,2025-08-20,12.03,1.5,9.98,-3.33,-2.05,持有期满,海特高新
002493,2025-11-07,10.8,0.0,4.63,-5.0,2.31,止损离场,荣盛石化
000599,2025-08-28,5.5,1.09,6.73,-0.91,-36.37,持有期满,青岛双星
600712,2025-08-19,7.38,-0.54,4.07,-5.0,-2.12,止损离场,南宁百货
600906,2025-08-07,7.78,-0.26,4.11,0.77,-0.36,持有期满,财达证券
600857,2025-09-22,14.74,1.76,22.05,11.19,-1.2,持有期满,宁波中百
600558,2025-10-22,6.07,0.16,9.72,2.47,1.84,持有期满,大西洋
600021,2025-07-14,9.38,-0.21,4.26,0.43,1.4,持有期满,上海电力
603922,2025-07-25,20.66,-0.29,12.68,10.6,2.16,持有期满,金鸿顺
002370,2025-07-16,4.41,-0.23,69.84,62.59,5.34,持有期满,亚太药业
002184,2025-10-09,15.51,1.29,2.97,-5.0,-2.74,止损离场,海得控制
600630,2025-09-30,9.18,0.0,16.12,9.69,-26.0,持有期满,龙头股份
000557,2025-07-21,5.62,0.18,2.31,-5.0,1.34,止损离场,西部创业
002660,2025-08-15,10.38,1.16,5.88,-5.0,6.04,止损离场,茂硕电源
601956,2025-10-17,8.14,3.81,12.16,-5.0,2.9,止损离场,东贝集团
603725,2025-07-25,9.42,0.0,17.62,9.24,-0.06,持有期满,天安新材
600409,2025-07-21,5.32,0.75,10.71,2.44,2.8,持有期满,三友化工
603327,2025-08-20,10.69,1.12,2.15,-5.0,1.72,止损离场,福蓉科技
603327,2025-11-24,9.97,-0.9,43.93,36.21,2.72,持有期满,福蓉科技
002438,2025-07-21,13.64,-0.15,6.89,2.49,-0.94,持有期满,江苏神通
000878,2025-08-25,14.7,0.68,7.28,1.43,-4.78,持有期满,云南铜业
002458,2025-07-22,8.8,0.57,3.52,2.39,1.65,持有期满,益生股份
603357,2025-07-21,8.9,-0.22,3.15,-2.7,75.34,持有期满,设计总院
000958,2025-11-14,7.3,2.74,2.74,-5.0,3.09,止损离场,电投产融
002117,2025-07-16,12.47,0.16,1.44,-5.0,-1.81,止损离场,东港股份
600986,2025-08-13,9.3,-0.22,14.19,6.45,4.57,持有期满,浙文互联
600623,2025-07-18,8.55,0.23,3.98,-3.04,-10.47,持有期满,华谊集团
002386,2025-10-30,5.8,0.17,12.07,9.31,3.17,持有期满,天原股份
002533,2025-08-01,11.06,2.26,8.23,6.15,19.37,持有期满,金杯电工
603617,2025-07-16,8.04,0.12,18.66,-3.61,2.89,持有期满,君禾股份
601390,2025-07-22,6.16,0.65,1.14,-5.0,4.15,止损离场,中国中铁
600295,2025-07-21,9.86,0.0,8.52,3.65,2.16,持有期满,鄂尔多斯
603565,2025-09-01,11.17,-0.18,4.3,1.07,-1.52,持有期满,中谷物流
002930,2025-12-09,12.13,0.25,2.31,-5.0,2.88,止损离场,宏川智慧
600508,2025-07-22,12.65,0.79,0.79,-5.0,18.0,止损离场,上海能源
601686,2025-10-20,6.8,0.44,9.85,-3.09,6.51,持有期满,友发集团
601939,2025-11-20,9.82,-0.31,0.81,-4.38,-0.99,持有期满,建设银行
601059,2025-06-25,17.58,0.0,0.4,-5.0,2.07,止损离场,信达证券
603020,2025-10-22,11.35,0.53,7.49,-2.64,4.25,持有期满,爱普股份
000712,2025-07-24,14.85,2.42,7.74,-5.0,3.52,止损离场,锦龙股份
603817,2025-09-04,6.66,0.0,4.65,-5.0,7.08,止损离场,海峡环保
603161,2025-11-06,14.45,-0.97,2.28,-5.0,1.58,止损离场,科华控股
600724,2025-09-02,5.28,-0.57,0.0,-5.0,18.61,止损离场,宁波富达
603798,2025-07-16,12.1,1.98,8.02,-3.64,20.86,持有期满,康普顿
